"Action","Action"
"Add NewsItem","Add NewsItem"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the newsitems.","An error occurred while updating the newsitems."
"Approved","Approved"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find newsitem to delete.","Could not find newsitem to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Delete NewsItem comment","Delete NewsItem comment"
"Delete NewsItem","Delete NewsItem"
"Delete","Delete"
"Disabled","Disabled"
"Edit NewsItem '%s'","Edit NewsItem '%s'"
"Edit NewsItem comment '%s'","Edit NewsItem comment '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving newsitem","Error saving newsitem"
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Heading","Heading"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for newsitems list page","Meta description for newsitems list page"
"Meta information","Meta information"
"Meta keywords for newsitems list page","Meta keywords for newsitems list page"
"Meta title for newsitems list page","Meta title for newsitems list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My NewsItem Comments","My NewsItem Comments"
"My NewsItems comment view","My NewsItems comment view"
"News heading goes here","News heading goes here"
"NewsItem Comment","NewsItem Comment"
"NewsItem Comments","NewsItem Comments"
"NewsItem comment","NewsItem comment"
"NewsItem was saved","NewsItem was saved"
"NewsItem was successfully deleted.","NewsItem was successfully deleted."
"NewsItem was successfully saved","NewsItem was successfully saved"
"NewsItem","NewsItem"
"NewsItems","NewsItems"
"No","No"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select newsitems to delete.","Please select newsitems to delete."
"Please select newsitems.","Please select newsitems."
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save NewsItem comment","Save NewsItem comment"
"Save NewsItem","Save NewsItem"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The newsitems has been deleted.","The newsitems has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the newsitem.","There was a problem saving the newsitem."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting newsitem.","There was an error deleting newsitem."
"There was an error deleting newsitems.","There was an error deleting newsitems."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating newsitems.","There was an error updating newsitems."
"This comment no longer exists.","This comment no longer exists."
"This newsitem does not allow comments","This newsitem does not allow comments"
"This newsitem no longer exists.","This newsitem no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d newsitems were successfully deleted.","Total of %d newsitems were successfully deleted."
"Total of %d newsitems were successfully updated.","Total of %d newsitems were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find newsitem to save.","Unable to find newsitem to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for newsitems.","You have submitted no comments for newsitems."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"